time,profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,profile_8,profile_9,profile_10,profile_11,profile_12,profile_13,profile_14,profile_15,profile_16,profile_17,profile_18,profile_19,profile_20,profile_21,profile_22,profile_23,profile_24,profile_25,profile_26,profile_27,profile_28,profile_29,profile_30,profile_31,profile_32,profile_33,profile_34,profile_35,profile_36,profile_37,profile_38,profile_39,profile_40,profile_41,profile_42,profile_43,profile_44,profile_45,profile_46,profile_47,profile_48,profile_49,profile_50,profile_51,profile_52,profile_53,profile_54,profile_55,profile_56,profile_57,profile_58,profile_59,profile_60,profile_61,profile_62,profile_63,profile_64,profile_65,profile_66,profile_67,profile_68,profile_69,profile_70,profile_71,profile_72,profile_73,profile_74,profile_75,profile_76,profile_77,profile_78,profile_79,profile_80,profile_81,profile_82,profile_83,profile_84,profile_85,profile_86,profile_87,profile_88,profile_89,profile_90,profile_91,profile_92,profile_93,profile_94,profile_95,profile_96,profile_97,profile_98,profile_99,profile_100
00:01:00,0.056,0.092,0.057,0.052,0.148,0.048,0.049,0.054,0.053,0.049,0.028,0.087,0.048,0.056,0.048,0.06,0.056,0.052,0.047,0.049,0.049,0.05,0.049,0.056,0.055,0.044,0.055,0.055,0.043,0.059,0.05,0.049,0.046,0.054,0.048,0.046,0.052,0.054,0.046,0.049,0.05,0.053,0.053,0.048,0.055,0.052,0.045,0.052,0.029,0.052,0.046,0.052,0.045,0.052,0.062,0.048,0.035,0.045,0.047,0.054,0.053,0.053,0.046,0.054,0.05,0.036,0.054,0.05,0.081,0.056,0.062,0.051,0.051,0.043,0.048,0.044,0.054,0.055,0.052,0.048,0.053,0.047,0.034,0.056,0.057,0.051,0.053,0.05,0.053,0.049,0.054,0.053,0.045,0.051,0.045,0.043,0.055,0.045,0.055,0.054
00:02:00,0.056,0.092,0.057,0.052,0.148,0.048,0.049,0.054,0.053,0.049,0.028,0.064,0.048,0.056,0.048,0.06,0.056,0.052,0.047,0.049,0.049,0.05,0.049,0.056,0.055,0.044,0.055,0.055,0.043,0.059,0.05,0.049,0.046,0.054,0.048,0.046,0.052,0.054,0.046,0.049,0.125,0.053,0.053,0.048,0.055,0.052,0.045,0.052,0.029,0.052,0.046,0.052,0.045,0.052,0.062,0.048,0.035,0.045,0.047,0.054,0.053,0.053,0.046,0.054,0.05,0.036,0.054,0.05,0.081,0.056,0.062,0.051,0.051,0.043,0.048,0.044,0.054,0.055,0.052,0.048,0.053,0.047,0.034,0.056,0.057,0.051,0.053,0.05,0.053,0.049,0.054,0.053,0.045,0.051,0.045,0.043,0.085,0.045,0.055,0.054
00:03:00,0.056,0.092,0.057,0.052,0.148,0.048,0.049,0.054,0.053,0.049,0.028,0.164,0.048,0.056,0.048,0.06,0.056,0.052,0.047,0.049,0.049,0.05,0.049,0.056,0.055,0.044,0.055,0.055,0.043,0.059,0.05,0.049,0.046,0.054,0.048,0.046,0.052,0.054,0.046,0.049,0.2,0.053,0.053,0.048,0.055,0.052,0.045,0.052,0.029,0.052,0.046,0.052,0.045,0.052,0.122,0.048,0.035,0.045,0.047,0.054,0.053,0.053,0.046,0.232,0.05,0.036,0.054,0.05,0.081,0.056,0.062,0.051,0.051,0.043,0.057,0.044,0.054,0.055,0.052,0.048,0.053,0.047,0.034,0.056,0.057,0.051,0.053,0.05,0.053,0.049,0.054,0.053,0.045,0.051,0.045,0.043,0.085,0.045,0.055,0.054
00:04:00,0.056,0.092,0.057,0.052,0.168,0.048,0.049,0.054,0.053,0.049,0.028,0.307,0.048,0.056,0.048,0.06,0.056,0.052,0.047,0.049,0.049,0.156,0.049,0.056,0.055,0.044,0.055,0.055,0.043,0.059,0.09,0.049,0.046,0.054,0.048,0.046,0.052,0.054,0.046,0.049,0.125,0.053,0.053,0.048,0.055,0.052,0.045,0.052,0.029,0.052,0.046,0.052,0.045,0.052,0.162,0.227,0.035,0.045,0.047,0.154,0.053,0.053,0.046,0.232,0.05,0.036,0.084,0.05,0.081,0.056,0.062,0.051,0.051,0.043,0.048,0.044,0.054,0.055,0.052,0.048,0.053,0.047,0.034,0.056,0.057,0.051,0.053,0.05,0.053,0.049,0.054,0.053,0.045,0.051,0.045,0.043,0.085,0.045,0.055,0.054
00:05:00,0.056,0.092,0.057,0.052,0.168,0.048,0.049,0.054,0.053,0.049,0.028,0.307,0.048,0.056,0.048,0.06,0.056,0.052,0.047,0.049,0.049,0.156,0.049,0.056,0.055,0.044,0.055,0.055,0.043,0.059,0.09,0.049,0.046,0.054,0.048,0.046,0.052,0.054,0.046,0.049,0.175,0.113,0.053,0.048,0.055,0.052,0.045,0.052,0.029,0.052,0.046,0.052,0.045,0.052,0.222,0.227,0.035,0.045,0.047,0.154,0.053,0.053,0.046,0.232,0.05,0.036,0.184,0.05,0.081,0.056,0.062,0.051,0.051,0.043,0.048,0.044,0.054,0.055,0.052,0.048,0.053,0.047,0.034,0.056,0.057,0.051,0.053,0.05,0.235,0.049,0.054,0.053,0.045,0.051,0.045,0.043,0.085,0.045,0.055,0.054
00:06:00,0.056,0.092,0.057,0.052,0.168,0.048,0.049,0.054,0.053,0.049,0.028,0.307,0.048,0.056,0.048,0.06,0.056,0.052,0.047,0.049,0.049,0.156,0.049,0.056,0.055,0.044,0.055,0.055,0.043,0.059,0.09,0.049,0.046,0.054,0.048,0.046,0.052,0.054,0.046,0.049,0.175,0.113,0.053,0.048,0.055,0.052,0.045,0.052,0.029,0.052,0.046,0.052,0.045,0.052,0.162,0.227,0.035,0.045,0.047,0.204,0.053,0.053,0.046,0.232,0.05,0.036,0.224,0.05,0.081,0.056,0.062,0.051,0.051,0.043,0.048,0.044,0.054,0.055,0.052,0.048,0.053,0.047,0.034,0.056,0.057,0.051,0.053,0.05,0.235,0.049,0.054,0.053,0.045,0.051,0.045,0.161,0.085,0.045,0.055,0.054
00:07:00,0.056,0.092,0.057,0.052,0.148,0.048,0.049,0.054,0.053,0.049,0.078,0.307,0.048,0.056,0.048,0.06,0.056,0.052,0.047,0.049,0.049,0.156,0.049,0.056,0.055,0.044,0.055,0.055,0.043,0.059,0.09,0.049,0.046,0.054,0.048,0.046,0.052,0.054,0.046,0.049,0.175,0.113,0.053,0.048,0.055,0.052,0.045,0.052,0.029,0.052,0.046,0.052,0.065,0.052,0.162,0.227,0.147,0.045,0.047,0.204,0.053,0.053,0.046,0.232,0.05,0.036,0.224,0.05,0.081,0.056,0.062,0.051,0.051,0.043,0.048,0.044,0.054,0.055,0.052,0.048,0.053,0.047,0.034,0.056,0.057,0.051,0.053,0.05,0.235,0.049,0.054,0.053,0.045,0.051,0.045,0.161,0.085,0.045,0.055,0.054
00:08:00,0.056,0.092,0.057,0.052,0.148,0.048,0.049,0.054,0.053,0.049,0.138,0.342,0.048,0.056,0.048,0.06,0.056,0.052,0.047,0.049,0.049,0.156,0.049,0.056,0.055,0.044,0.055,0.163,0.043,0.059,0.19,0.049,0.046,0.054,0.048,0.046,0.052,0.054,0.046,0.049,0.175,0.113,0.053,0.048,0.055,0.052,0.045,0.052,0.029,0.052,0.046,0.052,0.093,0.052,0.162,0.227,0.147,0.045,0.047,0.204,0.053,0.053,0.046,0.232,0.05,0.036,0.237,0.05,0.081,0.056,0.062,0.051,0.051,0.043,0.148,0.044,0.054,0.055,0.052,0.048,0.053,0.047,0.034,0.056,0.057,0.051,0.053,0.05,0.235,0.049,0.054,0.053,0.045,0.051,0.045,0.161,0.085,0.045,0.055,0.054
00:09:00,0.056,0.092,0.057,0.052,0.148,0.048,0.049,0.054,0.053,0.049,0.29,0.342,0.048,0.056,0.048,0.06,0.056,0.052,0.047,0.049,0.049,0.156,0.049,0.056,0.055,0.044,0.055,0.163,0.043,0.059,0.19,0.049,0.046,0.054,0.048,0.046,0.052,0.054,0.046,0.049,0.235,0.113,0.053,0.048,0.055,0.052,0.045,0.052,0.029,0.052,0.046,0.052,0.093,0.052,0.162,0.227,0.147,0.045,0.047,0.204,0.053,0.053,0.046,0.232,0.05,0.036,0.237,0.05,0.141,0.056,0.062,0.051,0.051,0.043,0.148,0.044,0.054,0.055,0.052,0.048,0.053,0.047,0.034,0.056,0.057,0.051,0.053,0.05,0.235,0.049,0.054,0.053,0.045,0.051,0.045,0.161,0.085,0.045,0.055,0.054
00:10:00,0.056,0.092,0.057,0.052,0.148,0.048,0.049,0.054,0.053,0.049,0.29,0.207,0.048,0.056,0.048,0.06,0.056,0.052,0.047,0.049,0.049,0.156,0.049,0.056,0.055,0.044,0.055,0.163,0.043,0.059,0.09,0.049,0.046,0.054,0.048,0.046,0.052,0.054,0.046,0.049,0.235,0.113,0.053,0.048,0.055,0.052,0.045,0.052,0.029,0.052,0.046,0.052,0.093,0.052,0.259,0.227,0.279,0.045,0.047,0.304,0.053,0.053,0.046,0.232,0.05,0.036,0.237,0.05,0.141,0.056,0.062,0.051,0.051,0.043,2.331,0.044,0.054,0.055,0.052,0.048,0.053,0.047,0.034,0.056,0.057,0.051,0.053,0.05,0.235,0.049,0.054,0.053,0.045,0.051,0.045,0.161,0.085,0.045,0.055,0.054
